1000 3000
40 546
965 153 3172
299 326 4435
587 589 9780
686 387 470
156 797 -4009
270 280 1703
477 188 5692
533 604 3993
381 318 593
766 777 4040
200 887 1291
556 140 9092
904 168 5869
286 761 9121
560 664 351
743 806 4824
843 690 3159
280 53 8369
522 720 3914
413 598 9475
172 751 5932
935 778 9574
639 40 1356
793 852 3549
786 682 3569
608 666 6934
845 454 8304
147 871 7906
795 286 7193
333 680 2484
651 988 9812
105 441 4396
933 341 7333
659 282 9819
113 822 4088
473 776 7973
919 600 5820
497 875 4560
292 833 2395
238 394 4886
165 596 5375
735 610 8022
55 594 1020
404 313 4627
354 533 4515
429 537 -1721
512 708 863
224 811 1367
468 844 -899
17 696 2386
944 299 2675
34 998 1529
374 647 4444
664 244 2958
59 138 6356
29 292 7370
572 10 9189
227 657 3543
283 32 8896
470 328 9410
337 905 5566
814 968 3085
452 565 5117
32 611 6103
651 616 6213
160 573 2134
402 536 7992
198 352 8632
246 739 9690
858 299 -1592
213 138 302
364 648 5583
425 279 -1720
274 35 137
98 989 6845
876 456 8390
736 301 1646
158 568 2190
465 610 2108
189 487 6533
83 988 5292
826 934 1073
419 261 2839
600 2 349
671 64 9342
266 215 296
327 362 7376
147 811 5101
569 573 5042
360 387 8615
875 920 6100
970 822 3716
451 417 -1715
218 846 2082
294 702 8376
548 323 8861
779 760 442
785 202 -4112
407 821 3041
340 257 7004
897 325 7911
68 639 5708
79 907 9342
408 700 1981
290 933 9304
221 455 5032
751 911 8000
521 583 8837
811 598 429
823 882 7601
752 873 729
0 260 8019
324 307 5018
499 74 1315
746 989 1367
618 620 2647
918 160 -2693
48 985 987
420 424 7945
645 647 2340
351 222 7392
805 604 8699
670 164 -139
153 282 935
140 502 4322
750 333 6831
680 262 9959
616 388 2344
861 811 1888
870 80 2373
459 829 4599
25 267 3518
275 387 8697
119 978 4974
687 86 1247
841 861 1398
253 168 9568
543 32 4103
804 632 6111
390 425 1200
858 129 2261
593 164 1416
981 556 8180
593 484 5953
171 777 990
657 460 2862
256 37 9717
136 952 9327
461 362 4124
154 276 8888
81 289 9382
386 357 1890
408 606 6498
576 605 2296
817 101 3654
146 308 6787
564 505 5140
42 124 4929
557 62 3589
379 212 2198
219 738 8612
922 603 4923
829 135 1401
664 206 6682
887 733 6755
3 514 1277
598 799 3827
946 726 7321
480 743 1035
571 935 3505
18 470 1503
103 791 3870
708 631 166
553 677 2481
84 605 491
370 876 7709
646 185 5178
589 406 4304
857 909 453
388 718 9611
75 446 4945
516 93 3269
470 792 3320
790 969 8430
648 21 6187
421 859 3895
985 19 6570
76 286 -3988
2 978 8662
531 402 3740
810 507 2366
892 367 3026
620 482 3882
855 63 5590
732 324 1671
865 208 7900
860 83 -672
233 799 671
675 545 2649
199 718 9829
808 546 3869
321 696 -529
835 906 6827
627 36 6906
978 27 9625
501 41 5134
475 312 6395
138 325 4129
244 69 7488
903 676 9356
683 702 1799
194 63 2238
33 878 1814
242 970 473
989 935 8365
646 829 9952
269 436 6699
380 423 5317
873 159 5720
312 14 5741
817 435 45
30 723 858
792 353 8324
809 404 1815
592 225 8441
212 580 2477
230 602 5105
336 966 6485
182 169 8881
255 53 -4515
130 788 6524
747 769 9066
313 155 4514
304 392 5145
605 954 7315
855 627 8164
577 79 9872
872 484 8344
479 861 2314
183 856 7073
821 262 5995
161 529 6358
596 228 8210
481 199 7361
80 985 -3763
504 68 9112
443 977 1531
493 674 6458
834 799 8198
628 315 -3606
743 588 1313
187 930 -3895
847 905 344
633 814 8446
497 149 5885
812 416 35
140 984 6059
961 571 7758
672 746 9623
323 715 1217
561 524 2779
790 267 367
551 40 3602
899 337 9745
639 819 2987
885 757 4380
445 396 7256
822 546 -4852
233 780 -3933
278 819 5781
839 46 2544
135 265 7008
886 767 8832
700 900 4363
999 271 6847
417 173 8002
932 855 8651
937 814 3904
763 931 9520
658 116 4106
355 767 9718
208 652 5971
827 240 8291
838 532 7538
407 225 9120
911 925 5441
725 345 6727
127 374 5681
392 529 4579
338 282 2913
59 899 2885
286 657 2788
258 423 8543
945 646 7876
594 294 5461
234 931 9946
557 892 3037
221 173 745
337 464 4182
732 731 -3542
225 75 4240
821 184 2195
43 334 9840
94 26 4416
365 601 5915
739 737 7822
444 685 6264
952 357 9418
24 209 7160
940 861 1726
107 749 8434
281 914 7770
203 127 7528
551 372 5225
265 803 5416
708 421 2037
38 238 6121
667 583 6218
480 568 2243
629 186 9088
193 112 -2047
611 459 2675
906 839 1895
129 281 7676
279 252 7009
882 713 8871
491 695 3560
799 483 1834
877 549 1892
464 607 185
521 276 6411
663 33 4848
948 667 4454
380 342 6432
775 566 -1498
691 350 4915
192 818 6088
470 129 1437
40 899 185
632 532 3180
712 552 8071
412 728 1195
971 560 9520
185 66 4698
485 897 4240
488 958 464
485 251 3518
695 967 9188
400 540 331
465 166 2804
363 580 6790
504 589 5882
978 679 3212
247 419 1149
489 689 7122
655 817 2937
442 754 9872
976 578 271
478 805 2683
181 132 1068
687 79 6489
595 952 7023
637 633 1089
478 75 8425
99 658 2599
554 809 7421
627 902 4762
910 765 5352
239 275 9600
77 880 5359
647 543 6205
694 648 6597
179 207 2947
849 876 5616
875 58 2084
385 564 2995
601 762 7490
632 23 1781
908 562 981
539 957 5559
868 370 8053
190 425 7104
947 417 2877
830 824 1311
14 33 485
160 4 9135
536 407 9463
524 345 -2453
950 909 4122
512 108 1959
921 402 1471
591 228 7735
490 789 7865
367 674 1933
38 230 2100
613 90 8286
13 482 4858
343 431 7494
299 374 870
285 706 1827
998 410 298
683 25 397
191 323 355
567 244 6505
928 172 9389
730 181 3898
394 988 417
48 787 8733
695 528 1833
546 350 7649
890 388 3555
911 328 9425
973 137 3154
150 266 1605
232 499 751
176 67 1260
341 695 2123
515 443 9559
226 240 8215
502 182 -452
127 671 9050
634 6 8229
172 986 549
526 611 5234
61 923 7829
943 416 -4794
384 759 3531
753 341 2734
461 515 5232
267 591 -2482
626 188 2211
271 329 1280
678 965 5298
218 654 1692
544 888 8510
170 77 8673
417 423 7651
913 86 -211
530 349 1055
844 13 202
681 93 6245
714 471 9028
310 359 1975
421 567 8003
312 61 2450
700 598 5954
49 227 6528
583 812 2260
959 84 7881
952 434 5452
307 581 8597
111 193 8872
949 116 -304
362 790 2758
919 120 7045
989 845 2551
875 135 1392
844 460 6294
403 672 -1248
342 236 6221
399 404 3823
888 145 4073
612 961 9868
144 775 6327
969 143 7854
95 441 895
579 710 9628
938 976 7938
318 450 5562
203 211 2421
685 688 2153
975 470 1083
698 815 2171
282 660 4783
418 687 2718
895 307 5634
452 671 2576
138 93 4622
113 20 8665
677 79 4989
515 785 9573
300 412 1298
274 664 4305
769 819 5090
254 105 7700
345 293 2654
643 818 -2187
796 506 319
377 696 4997
888 86 2301
305 125 6276
10 539 5071
716 472 6766
26 750 3513
360 776 9963
455 41 692
782 714 7111
165 137 5921
522 899 8404
163 467 3022
2 864 -914
373 243 190
8 308 1459
653 396 1676
891 817 -1149
893 736 5856
954 553 9233
109 351 5207
372 61 6115
912 285 4441
972 789 9174
359 725 9053
684 63 4688
11 942 73
309 824 1049
284 760 5110
166 588 8255
164 443 4768
322 3 2818
171 608 6873
76 922 2501
208 634 4163
350 581 4201
683 60 6157
414 803 5887
906 95 -1959
597 605 -1565
40 48 5925
333 642 3938
131 457 2930
545 36 2825
432 502 5207
352 699 -3217
56 226 7434
660 129 7782
31 836 5028
303 359 3917
388 857 -116
422 360 186
702 364 -3611
214 608 9773
630 924 -514
129 464 -2373
602 488 8821
505 951 -3730
444 186 7853
588 673 2071
414 334 7620
819 198 4101
714 254 -2478
931 938 7392
237 532 8990
436 908 9721
512 785 3445
714 530 5612
446 856 9825
129 80 5887
853 73 295
715 456 682
