1000 2520
0 404
989 266 2190
697 915 6302
639 474 8772
541 370 6491
877 266 5810
579 230 7355
674 712 378
481 469 1702
809 606 6430
623 510 992
227 407 7329
967 954 2999
950 459 2654
567 318 5095
139 11 1288
651 257 8988
732 649 9736
824 469 1009
881 735 9117
484 750 6857
820 809 4735
738 0 3434
260 31 7841
49 13 5896
13 62 5774
891 727 9833
138 687 9187
900 749 2927
600 84 6120
290 605 998
29 960 7074
272 234 507
228 676 5400
157 719 6556
664 830 4386
466 742 8471
434 775 9169
867 219 9642
67 187 6079
551 570 811
774 824 5370
429 897 4813
817 131 8719
856 779 5126
617 558 8829
456 266 9173
770 121 6677
975 257 3386
775 70 5442
279 199 1994
496 232 584
654 1 6605
179 784 3456
660 745 2851
308 36 4002
273 604 8207
283 434 4209
395 984 6663
875 240 3541
548 187 8230
894 910 8725
819 602 684
459 598 890
586 809 7923
536 609 2557
347 277 4521
442 778 895
207 221 4661
218 976 2652
924 464 7241
879 207 3491
917 592 5038
657 949 3098
121 947 4646
187 267 9348
443 337 3462
161 382 4307
66 810 2597
669 900 1836
176 638 5570
401 624 3904
267 915 9989
559 186 250
489 787 9795
5 94 7908
441 307 1904
60 811 4331
118 102 5404
186 937 9737
494 395 3512
688 785 6119
43 650 4808
230 994 6344
291 161 4089
633 280 2341
102 107 6563
984 241 763
981 423 7053
845 504 4528
289 473 4394
585 215 1162
850 873 1261
796 95 4434
595 552 8983
117 376 987
74 705 5890
122 390 2139
476 833 1421
708 16 545
25 363 6384
548 622 7639
852 90 5543
380 203 4134
670 598 6000
832 131 1493
81 73 9015
89 262 4500
453 1 4841
137 135 171
222 208 2042
748 118 8791
430 585 1670
297 196 6542
557 122 9582
951 706 6257
291 749 2389
19 903 93
665 718 1982
48 566 2858
472 330 9565
439 720 568
514 787 6967
328 920 1903
146 382 9650
489 614 8248
757 580 5797
971 598 9440
247 884 4073
190 201 9813
303 989 8683
233 430 4591
442 594 4403
173 120 5753
969 596 1210
96 380 4972
469 627 9518
492 277 2712
208 927 2606
437 958 2094
362 350 5
800 920 8830
263 220 5926
944 219 5879
418 520 9034
34 720 541
872 941 2042
462 158 6802
350 982 8947
680 146 6074
33 171 3002
829 362 1167
824 937 2161
970 808 2557
709 216 9732
927 913 3257
189 753 6142
859 846 6166
249 443 2367
667 265 8594
654 742 891
412 52 5659
63 534 9607
282 919 4846
359 322 7433
833 196 6795
870 334 364
861 483 4793
594 20 5032
118 113 1498
883 687 5476
120 548 7187
866 313 672
303 918 6046
39 274 1126
564 736 5653
313 611 7242
6 161 2645
487 418 2856
427 377 377
318 128 8088
841 831 1065
226 862 7499
593 37 4215
701 965 9912
204 286 1264
605 423 4615
287 920 333
254 346 2414
230 945 3000
972 744 9079
0 633 8342
931 783 5795
355 989 4087
928 690 6852
830 219 6466
403 213 8218
352 66 7615
316 599 1619
958 681 2914
321 129 6530
220 323 8072
165 709 4048
156 503 6920
193 356 7999
582 739 6270
625 659 1958
311 381 5161
115 691 851
807 565 5229
801 448 8972
158 619 9581
409 309 8851
816 457 9452
963 266 5924
549 583 3992
910 736 4949
328 219 7887
527 477 7510
795 988 1940
195 341 5436
7 530 4625
651 481 688
265 283 2594
30 27 7533
256 302 9773
60 653 852
374 877 335
261 859 7652
831 217 3710
477 87 870
623 590 8503
527 284 3431
26 339 5759
368 377 3325
685 112 6843
615 792 1937
40 54 3081
150 425 8777
133 97 1869
787 267 6331
548 180 9788
125 977 3945
904 581 3499
469 464 4044
642 747 3923
603 402 2698
690 478 2704
374 985 7343
251 712 6828
896 627 9709
528 744 6562
301 205 4536
112 643 6312
535 386 3113
823 881 3769
534 416 7855
146 320 2024
968 841 3709
302 566 7155
280 196 9584
670 300 255
586 176 4351
632 953 4091
77 28 5138
981 258 3012
431 746 4059
880 3 7447
948 435 9729
470 280 1548
949 181 6675
718 578 2838
669 130 1100
235 47 2036
144 70 3815
495 894 6984
913 165 2334
388 453 7346
886 571 470
328 701 332
303 541 1522
369 543 5512
272 620 6760
687 795 1477
370 562 3043
649 75 6436
234 412 2145
893 876 3515
191 558 3635
993 356 4475
701 469 2220
10 134 9239
68 560 8620
909 474 751
649 689 3584
449 114 2078
253 685 42
2 127 5059
175 203 1436
910 822 324
490 521 3999
307 972 8548
304 355 4639
903 43 8992
112 220 2184
237 112 6086
913 213 5161
873 678 3167
478 753 8829
797 665 7237
386 730 8151
302 872 2580
